No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
86,CDW,CDW Corporation,Technology,Information Technology Services,USA,22.71B,31.11,169.44,2.23%,"722,164"
87,CE,Celanese Corporation,Basic Materials,Chemicals,USA,16.99B,8.91,151.89,1.39%,"670,296"
88,CERN,Cerner Corporation,Healthcare,Health Information Services,USA,22.29B,28.88,72.92,1.45%,"2,023,795"
89,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,9.63B,31.17,45.91,1.17%,"1,851,744"
90,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,18.72B,20.24,44.94,1.79%,"5,725,139"
91,CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,USA,20.88B,27.75,86.53,-0.94%,"1,701,779"
92,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,USA,12.56B,26.14,97.15,1.80%,"919,032"
93,CHTR,"Charter Communications, Inc.",Communication Services,Entertainment,USA,132.26B,39.18,608.58,-1.37%,"1,630,934"
94,CI,Cigna Corporation,Healthcare,Healthcare Plans,USA,83.18B,10.46,241.83,0.04%,"1,272,234"
95,CINF,Cincinnati Financial Corporation,Financial,Insurance - Property & Casualty,USA,16.82B,13.83,104.14,1.02%,"657,996"
96,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,USA,65.54B,25.05,78.55,-0.36%,"4,789,537"
97,CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,USA,24.32B,20.21,192.83,-0.03%,"1,282,117"
98,CMA,Comerica Incorporated,Financial,Banks - Regional,USA,9.87B,21.82,71.74,0.00%,"1,288,234"
99,CMCSA,Comcast Corporation,Communication Services,Entertainment,USA,255.88B,24.04,54.75,1.18%,"16,654,578"
100,CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges,USA,72.87B,35.10,206.09,0.91%,"1,164,556"
101,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,USA,40.10B,115.14,1438.46,1.24%,"201,623"
102,CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,USA,37.87B,21.48,257.72,-0.54%,"1,247,275"
103,CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA,17.68B,24.25,61.02,-0.33%,"1,280,498"
104,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,36.83B,20.53,63.25,-1.03%,"3,758,875"
105,CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Gas,USA,12.68B,-,22.65,0.00%,"1,843,636"
106,COF,Capital One Financial Corporation,Financial,Credit Services,USA,58.75B,25.35,129.78,2.00%,"2,541,315"
107,COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,USA,7.44B,38.10,19.09,1.65%,"7,222,543"
108,COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,USA,18.88B,8.52,385.49,0.36%,"251,835"
109,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,71.23B,-,54.02,1.98%,"10,026,607"
110,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,154.54B,36.30,354.94,0.70%,"2,890,577"
111,CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,USA,14.70B,18.86,49.97,-0.60%,"2,994,218"
112,CPRT,"Copart, Inc.",Industrials,Specialty Business Services,USA,26.14B,38.16,112.61,3.68%,"1,360,915"
113,CRM,"salesforce.com, inc.",Technology,Software - Application,USA,197.92B,49.54,218.72,3.23%,"7,572,946"
114,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,211.04B,21.76,51.98,0.52%,"17,844,390"
115,CSX,CSX Corporation,Industrials,Railroads,USA,72.55B,27.02,97.26,0.87%,"2,665,449"
116,CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,35.58B,38.12,348.31,2.05%,"395,448"
117,CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,17.95B,59.92,106.54,1.17%,"672,527"
118,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,40.72B,30.68,78.88,0.97%,"2,073,211"
119,CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,USA,33.96B,47.79,46.74,0.26%,"2,941,317"
120,CTXS,"Citrix Systems, Inc.",Technology,Software - Application,USA,17.06B,35.14,140.32,-0.03%,"856,631"
141,DRE,Duke Realty Corporation,Real Estate,REIT - Industrial,USA,15.71B,53.51,42.86,2.22%,"1,884,577"
142,DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,USA,18.29B,-,144.28,1.61%,"1,694,540"
143,DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,USA,25.67B,18.83,133.03,-0.08%,"713,522"
144,DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,USA,73.83B,56.04,96.28,-0.26%,"2,821,628"
145,DVA,DaVita Inc.,Healthcare,Medical Care Facilities,USA,11.76B,16.51,105.44,-2.16%,"1,061,570"
146,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,15.55B,-,23.50,7.55%,"14,068,970"
147,DXC,DXC Technology Company,Technology,Information Technology Services,USA,7.56B,-,30.83,-1.38%,"2,228,988"
148,DXCM,"DexCom, Inc.",Healthcare,Diagnostics & Research,USA,34.70B,73.23,365.50,1.70%,"553,583"
149,EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,USA,38.84B,34.18,137.96,1.91%,"1,722,570"
150,EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,USA,41.01B,17.58,63.11,3.05%,"5,205,950"
151,ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,USA,60.72B,64.44,216.85,1.30%,"701,404"
152,ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,USA,25.38B,22.61,74.29,-0.68%,"1,688,464"
153,EFX,Equifax Inc.,Industrials,Consulting Services,USA,21.57B,43.14,182.61,0.82%,"575,361"
154,EIX,Edison International,Utilities,Utilities - Regulated Electric,USA,21.98B,29.57,58.29,-0.53%,"3,188,341"
155,EL,The Estee Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,USA,103.82B,116.98,292.33,0.51%,"943,345"
156,EMN,Eastman Chemical Company,Basic Materials,Chemicals,USA,14.97B,31.76,111.29,1.06%,"796,364"
157,EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,USA,52.84B,26.18,90.41,0.21%,"3,358,416"
158,ENPH,"Enphase Energy, Inc.",Technology,Solar,USA,20.50B,181.37,162.69,0.33%,"2,714,572"
159,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,42.89B,-,75.34,3.87%,"5,853,698"
160,EQIX,"Equinix, Inc. (REIT)",Real Estate,REIT - Specialty,USA,59.16B,161.12,678.00,-0.23%,"734,336"
161,EQR,Equity Residential,Real Estate,REIT - Residential,USA,26.81B,29.34,72.51,1.23%,"1,744,273"
162,ES,Eversource Energy,Utilities,Utilities - Regulated Electric,USA,29.74B,24.37,86.47,-0.14%,"770,987"
163,ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,USA,17.56B,31.98,276.49,1.71%,"550,457"
164,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,54.42B,40.03,139.49,0.88%,"2,377,001"
165,ETR,Entergy Corporation,Utilities,Utilities - Diversified,USA,19.95B,14.43,99.64,0.17%,"824,612"
166,ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail,USA,25.45B,81.46,208.20,3.24%,"1,767,225"
167,EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,USA,13.76B,22.05,59.93,0.67%,"1,178,774"
168,EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,USA,51.25B,64.94,83.84,0.24%,"2,385,535"
169,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,42.73B,21.86,43.91,0.39%,"3,892,905"
170,EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,USA,17.61B,26.69,108.76,0.99%,"852,606"
171,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,25.05B,-,175.93,2.21%,"2,797,241"
172,EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,USA,17.79B,36.65,135.45,2.19%,"1,114,654"
173,F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,USA,47.64B,-,12.17,-0.65%,"61,584,650"
174,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,13.46B,-,81.22,10.52%,"4,635,861"
175,FAST,Fastenal Company,Industrials,Industrial Distribution,USA,28.58B,34.26,51.11,1.65%,"2,939,308"
176,FB,"Facebook, Inc.",Communication Services,Internet Content & Information,USA,837.62B,29.61,298.66,1.40%,"17,493,868"
177,FBHS,"Fortune Brands Home & Security, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,12.98B,24.68,97.15,1.39%,"987,535"
178,FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,46.47B,84.82,33.76,2.52%,"16,271,570"
179,FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,USA,73.32B,25.11,283.54,-0.18%,"1,343,522"
180,FE,FirstEnergy Corp.,Utilities,Utilities - Diversified,USA,18.63B,18.58,34.31,-1.10%,"3,900,978"
221,HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,USA,33.57B,-,121.65,0.60%,"1,688,582"
222,HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,USA,18.54B,14.10,74.34,-0.05%,"1,415,339"
223,HON,Honeywell International Inc.,Industrials,Specialty Industrial Machinery,USA,147.58B,32.29,216.80,-0.12%,"2,108,558"
224,HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,USA,19.57B,-,15.70,-0.25%,"12,191,781"
225,HPQ,HP Inc.,Technology,Computer Hardware,USA,37.72B,13.55,32.05,0.94%,"7,865,970"
226,HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,USA,26.02B,29.35,47.60,-0.38%,"1,666,144"
227,HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,USA,9.61B,24.44,68.67,-0.82%,"949,229"
228,HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,USA,11.94B,-,17.11,1.54%,"4,445,314"
229,HSY,The Hershey Company,Consumer Defensive,Confectioners,USA,32.43B,26.00,158.76,0.38%,"930,516"
230,HUM,Humana Inc.,Healthcare,Healthcare Plans,USA,52.36B,16.32,412.82,-1.53%,"774,567"
231,HWM,Howmet Aerospace Inc.,Industrials,Specialty Industrial Machinery,USA,13.52B,66.71,31.82,-0.96%,"3,010,994"
232,IBM,International Business Machines Corporation,Technology,Information Technology Services,USA,116.16B,21.29,133.23,-0.02%,"3,971,602"
233,ICE,"Intercontinental Exchange, Inc.",Financial,Financial Data & Stock Exchanges,USA,63.38B,30.34,114.20,2.26%,"1,876,050"
234,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,USA,40.84B,72.48,486.36,-0.60%,"438,552"
235,IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,USA,15.73B,42.94,212.25,1.40%,"375,588"
236,IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,USA,34.28B,43.66,138.85,-0.54%,"1,020,636"
237,ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,USA,55.71B,86.88,385.04,0.26%,"1,357,342"
238,INCY,Incyte Corporation,Healthcare,Biotechnology,USA,17.81B,-,83.01,2.14%,"1,038,397"
239,INFO,IHS Markit Ltd.,Industrials,Consulting Services,United Kingdom,38.74B,74.53,99.50,2.81%,"2,376,925"
240,INTC,Intel Corporation,Technology,Semiconductors,USA,250.74B,13.06,64.55,0.86%,"28,296,725"
261,KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,USA,25.62B,42.58,143.79,0.27%,"1,024,208"
262,KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,USA,47.95B,192.45,40.03,0.07%,"4,542,872"
263,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,USA,8.24B,8.52,19.20,2.40%,"3,893,632"
264,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,USA,50.08B,39.65,347.29,5.11%,"1,882,160"
265,KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,USA,45.81B,19.97,136.98,-1.49%,"3,192,143"
266,KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,USA,37.12B,358.30,16.84,1.14%,"13,279,380"
267,KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,19.56B,27.18,123.31,-7.05%,"4,603,645"
268,KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,USA,221.93B,29.30,52.51,-0.38%,"15,421,489"
269,KR,The Kroger Co.,Consumer Defensive,Grocery Stores,USA,26.83B,10.99,35.95,-0.11%,"11,911,656"
270,KSU,Kansas City Southern,Industrials,Railroads,USA,24.17B,40.77,266.98,1.16%,"1,138,234"
271,L,Loews Corporation,Financial,Insurance - Property & Casualty,USA,13.78B,-,52.25,1.89%,"865,662"
272,LB,"L Brands, Inc.",Consumer Cyclical,Apparel Retail,USA,16.62B,21.41,61.80,-0.10%,"4,215,318"
273,LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,USA,13.64B,22.12,96.45,0.18%,"600,989"
274,LEG,"Leggett & Platt, Incorporated",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,6.11B,25.52,46.45,1.75%,"552,505"
275,LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,USA,30.42B,14.38,103.43,2.17%,"1,778,464"
276,LH,Laboratory Corporation of America Holdings,Healthcare,Diagnostics & Research,USA,24.24B,15.97,252.70,-0.91%,"705,975"
277,LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,USA,41.79B,39.23,203.62,0.46%,"979,588"
278,LIN,Linde plc,Basic Materials,Specialty Chemicals,United Kingdom,142.65B,59.72,280.84,0.25%,"1,592,084"
279,LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,USA,12.72B,20.51,42.95,1.46%,"1,255,214"
280,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,USA,175.51B,27.29,185.24,-0.85%,"2,309,748"
281,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,USA,102.93B,15.15,371.02,0.41%,"1,253,428"
282,LNC,Lincoln National Corporation,Financial,Insurance - Life,USA,11.84B,26.61,62.90,1.01%,"1,106,787"
283,LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,USA,13.53B,21.98,54.36,0.37%,"885,744"
284,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,USA,132.61B,24.73,191.32,0.60%,"3,140,066"
285,LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,USA,85.70B,31.72,639.30,7.40%,"2,386,633"
286,LUMN,"Lumen Technologies, Inc.",Communication Services,Telecom Services,USA,14.83B,-,13.11,-1.80%,"12,877,996"
287,LUV,Southwest Airlines Co.,Industrials,Airlines,USA,35.39B,-,61.30,0.39%,"4,966,039"
288,LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,USA,47.03B,-,61.85,1.79%,"3,834,346"
289,LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,USA,11.31B,38.81,78.08,0.77%,"2,834,311"
290,LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,USA,34.96B,24.79,105.55,1.44%,"1,191,707"
291,LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,USA,19.15B,-,88.07,4.04%,"1,999,098"
292,MA,Mastercard Incorporated,Financial,Credit Services,USA,353.22B,56.99,363.30,2.04%,"3,669,477"
293,MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,USA,16.46B,66.81,146.64,1.58%,"617,779"
294,MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,USA,48.02B,-,148.27,0.11%,"2,044,467"
295,MAS,Masco Corporation,Industrials,Building Products & Equipment,USA,15.16B,19.97,60.99,1.82%,"1,877,952"
296,MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,USA,167.16B,35.72,225.21,0.48%,"2,434,917"
297,MCHP,Microchip Technology Incorporated,Technology,Semiconductors,USA,40.84B,125.72,160.17,3.19%,"2,067,285"
298,MCK,McKesson Corporation,Healthcare,Medical Distribution,USA,30.39B,-,193.57,-0.75%,"821,514"
299,MCO,Moody's Corporation,Financial,Financial Data & Stock Exchanges,USA,55.75B,32.61,306.31,2.58%,"641,435"
300,MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,USA,81.30B,23.67,58.44,-0.15%,"7,649,881"
361,PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,USA,199.25B,29.06,36.30,0.19%,"21,250,020"
362,PFG,"Principal Financial Group, Inc.",Financial,Insurance - Diversified,USA,16.34B,12.06,60.86,1.50%,"1,073,229"
363,PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,USA,325.85B,25.38,134.28,-0.85%,"8,961,854"
364,PGR,The Progressive Corporation,Financial,Insurance - Property & Casualty,USA,55.37B,9.89,95.55,-0.06%,"2,435,210"
365,PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,USA,40.39B,28.77,316.21,0.25%,"959,688"
366,PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,USA,13.55B,10.31,53.48,1.98%,"2,412,336"
367,PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,USA,12.71B,27.98,135.57,0.81%,"496,148"
368,PKI,"PerkinElmer, Inc.",Healthcare,Diagnostics & Research,USA,14.14B,20.03,129.88,1.24%,"598,535"
369,PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,USA,78.50B,53.79,108.50,2.36%,"2,895,392"
370,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,USA,134.29B,17.08,88.06,-0.77%,"4,590,244"
371,PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,USA,74.10B,27.82,177.41,1.14%,"1,458,279"
372,PNR,Pentair plc,Industrials,Specialty Industrial Machinery,United Kingdom,10.13B,29.24,62.39,0.11%,"715,195"
373,PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,USA,9.22B,18.48,81.81,0.57%,"697,107"
374,POOL,Pool Corporation,Consumer Cyclical,Leisure,USA,13.87B,39.12,351.57,1.83%,"169,559"
375,PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,USA,35.43B,34.25,151.96,1.13%,"1,654,434"
376,PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,USA,21.72B,15.08,28.77,-0.24%,"6,327,963"
377,PRGO,Perrigo Company plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,5.43B,-,40.68,0.52%,"730,351"
378,PRU,"Prudential Financial, Inc.",Financial,Insurance - Life,USA,36.39B,-,92.71,1.77%,"1,857,845"
379,PSA,Public Storage,Real Estate,REIT - Industrial,USA,43.44B,40.06,251.94,2.10%,"842,787"
380,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,USA,35.53B,-,83.16,1.99%,"2,704,113"
461,URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,USA,22.85B,27.15,331.71,0.73%,"771,215"
462,USB,U.S. Bancorp,Financial,Banks - Regional,USA,81.92B,18.24,55.83,0.94%,"6,095,906"
463,V,Visa Inc.,Financial,Credit Services,USA,451.42B,49.89,216.86,2.42%,"6,133,189"
464,VAR,"Varian Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,16.24B,57.33,176.80,0.15%,"721,682"
465,VFC,V.F. Corporation,Consumer Cyclical,Apparel Manufacturing,USA,30.32B,-,79.49,-0.54%,"2,036,849"
466,VIAC,ViacomCBS Inc.,Communication Services,Entertainment,USA,38.06B,11.97,44.64,-1.02%,"58,445,565"
467,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,USA,30.49B,-,75.30,5.17%,"3,775,497"
468,VMC,Vulcan Materials Company,Basic Materials,Building Materials,USA,21.44B,37.70,166.39,-1.40%,"1,301,532"
469,VNO,Vornado Realty Trust,Real Estate,REIT - Office,USA,8.69B,-,46.39,2.20%,"1,205,371"
470,VNT,Vontier Corporation,Technology,Scientific & Technical Instruments,USA,5.21B,15.45,31.08,2.68%,"1,380,811"
471,VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,USA,28.64B,41.71,179.81,1.77%,"668,365"
472,VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,USA,22.11B,28.64,201.90,1.58%,"541,128"
473,VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,USA,54.79B,20.68,213.04,-0.86%,"2,049,739"
474,VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,USA,19.90B,46.78,54.40,1.99%,"2,543,168"
475,VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,16.38B,-,13.90,-0.50%,"7,043,957"
476,VZ,Verizon Communications Inc.,Communication Services,Telecom Services,USA,237.94B,13.56,58.30,0.26%,"12,871,434"
477,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,USA,14.80B,36.40,78.99,-0.21%,"1,071,565"
478,WAT,Waters Corporation,Healthcare,Diagnostics & Research,USA,17.19B,34.07,284.72,0.19%,"269,222"
479,WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,USA,47.02B,-,54.75,-0.27%,"8,602,181"
480,WDC,Western Digital Corporation,Technology,Computer Hardware,USA,20.80B,128.13,71.37,6.92%,"7,113,698"
